Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_745.jpg;0;1;0;3.401628;104.4563;92.16927;1.398134;53.88575;-0.001489665
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_812.jpg;0;1;0;3.45507;104.5793;92.33634;1.402558;53.86921;-0.001502558
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_882.jpg;0;1;0;3.494207;104.7455;92.562;1.405954;53.84727;-0.001526019
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_945.jpg;0;1;0;3.533626;104.8719;92.73345;1.41001;53.83019;-0.001539633
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_011.jpg;0;1;0;3.586504;104.9998;92.90675;1.414352;53.81277;-0.001557598
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_082.jpg;0;1;0;3.625232;105.1725;93.14071;1.419305;53.79095;-0.001109659
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_145.jpg;0;1;0;3.663921;105.3037;93.31828;1.421465;53.77105;-0.001706872
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_212.jpg;0;1;0;3.715857;105.4364;93.49768;1.422893;53.75344;-0.001703003
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_282.jpg;-3.085879;1;0;3.754928;105.6167;93.73891;1.429169;53.47194;-0.0006739704
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_346.jpg;-6.134574;1;0;3.793056;105.7555;93.92007;1.419241;52.86302;0.0008499523
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_411.jpg;-9.000898;1;0;3.84188;105.8986;94.10054;1.39921;51.87375;359.9897
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_482.jpg;-12.13978;1;0;3.87668;106.0979;94.33668;1.301337;49.85886;359.8647
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_546.jpg;-9.144181;1;0;3.911255;106.2524;94.51054;1.135981;48.2157;359.7537
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_612.jpg;-6.273315;1;0;3.962688;106.4117;94.68257;0.9481688;46.86887;359.6052
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_682.jpg;-3.283261;1;0;4.000812;106.6297;94.91111;0.6865411;45.68726;359.4112
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_746.jpg;-0.1372267;1;0;4.038098;106.7965;95.08339;0.5069363;45.28876;359.2996
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_811.jpg;0;1;0;4.087473;106.966;95.25714;0.3666629;45.17016;359.2181
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_882.jpg;0;1;0;4.123315;107.1964;95.49149;0.2671332;45.14761;359.1443
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_11_948.jpg;0;0.7911838;0;4.157799;107.3714;95.66923;0.2355225;45.15575;359.1345
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_011.jpg;0;0.5977474;0;4.190284;107.548;95.8481;0.2331307;45.16614;359.1472
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_082.jpg;-1.50241;0.3991315;0;4.204193;107.785;96.08712;0.2429376;45.11407;359.1872
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_148.jpg;-4.597956;0.6055013;0;4.211621;107.965;96.26494;0.2507569;44.75196;359.1886
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_211.jpg;-7.505316;0.7993253;0;4.233635;108.1484;96.44085;0.267844;44.01886;359.1415
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_278.jpg;-10.48704;0.998107;0;4.258279;108.3995;96.67089;0.2610313;42.40129;359.0208
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_349.jpg;-13.6167;1;0;4.288624;108.5927;96.83797;0.1499159;40.64673;358.9277
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_411.jpg;-15;1;0;4.328551;108.7917;96.99839;359.9551;38.53867;358.7907
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_478.jpg;-12.0408;1;0;4.349611;109.0683;97.20954;359.9684;36.07584;358.7471
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_548.jpg;-8.916942;1;0;4.388054;109.2821;97.3638;0.003756337;34.50891;358.8202
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_613.jpg;-5.92786;1;0;4.430076;109.5012;97.51392;0.02126622;33.20004;358.939
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_678.jpg;-3.039011;1;0;4.464998;109.8022;97.7074;0.04769375;32.04962;358.9633
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_748.jpg;0;1;0;4.499855;110.0317;97.85175;0.07947827;31.64685;358.9902
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_812.jpg;0;1;0;4.546423;110.2637;97.99655;0.1250162;31.50842;359.0486
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_878.jpg;0;1;0;4.581659;110.5775;98.19054;0.2336603;31.45678;359.1499
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_12_949.jpg;0;1;0;4.615933;110.8158;98.33724;0.3611198;31.45414;359.2387
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_012.jpg;0;1;0;4.661594;111.0563;98.48524;0.5165107;31.46711;359.3464
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_079.jpg;0;1;0;4.695947;111.3802;98.68466;0.7555231;31.49372;359.5147
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_149.jpg;0;1;0;4.730048;111.6253;98.8358;0.9536775;31.52257;359.6519
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_214.jpg;0;1;0;4.775369;111.8722;98.9883;1.159502;31.55858;359.796
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_279.jpg;0;1;0;4.809302;112.2039;99.19374;1.436106;31.61375;359.9934
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_348.jpg;0;1;0;4.843315;112.4548;99.34636;1.565569;31.58057;-0.004161459
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_415.jpg;0;1;0;4.895863;112.7053;99.49876;1.522993;31.58004;-0.002262659
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_479.jpg;0;1;0;4.931864;113.0416;99.70323;1.427075;31.55154;-0.001356961
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_549.jpg;0;1;0;4.965864;113.2962;99.85797;1.378342;31.52063;-0.001326027
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_616.jpg;0;1;0;5.011249;113.5527;100.0137;1.346707;31.48708;-0.001316616
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_678.jpg;0;1;0;5.013535;113.8956;100.2218;1.335913;31.43956;-0.001221602
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_745.jpg;0;1;0;5.006579;114.1529;100.3776;1.344145;31.42886;-0.001947193
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_815.jpg;0;1;0;4.984348;114.4104;100.5336;1.365304;31.43738;-0.00170515
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_878.jpg;0;1;0;5.008934;114.7543;100.7417;1.415681;31.39764;-0.001569181
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_13_945.jpg;0;1;0;5.020589;115.0129;100.898;1.468595;31.33732;-0.0007661399
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_014.jpg;0;1;0;5.011512;115.2706;101.0536;1.50841;31.36349;-0.001413325
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_079.jpg;0;1;0;5.009408;115.6128;101.26;1.438609;31.31477;-0.001155894
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_145.jpg;0;1;0;5.008548;115.8698;101.4148;1.393055;31.27792;-0.001342422
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_215.jpg;0;1;0;5.008567;116.1273;101.5698;1.369935;31.24859;-0.001531094
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_279.jpg;0;1;0;5.0231;116.4709;101.7762;1.361281;31.17926;-0.001309685
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_346.jpg;0;1;0;5.014145;116.7292;101.9312;1.378907;31.1496;-0.001546365
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_414.jpg;0;1;0;5.021091;116.9875;102.0859;1.402798;31.10335;-0.0009682559
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_480.jpg;0;1;0;5.014256;117.3328;102.2923;1.455618;31.06084;-0.001596859
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_545.jpg;1.454261;1;0;5.005583;117.5915;102.447;1.496549;31.07067;-0.001629129
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_615.jpg;4.440557;1;0;5.000572;117.849;102.6025;1.46742;31.32996;-0.003583449
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_682.jpg;4.546644;1;0;5.015814;118.1885;102.8128;1.380945;32.09459;0.04391481
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_745.jpg;1.616379;1;0;5.016544;118.4429;102.9726;1.345684;32.50354;0.1063172
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_812.jpg;0;1;0;5.016413;118.6969;103.1324;1.311292;32.69863;0.1564305
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_882.jpg;1.627629;1;0;5.014223;119.0346;103.3455;1.226865;32.71911;0.1662453
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_14_946.jpg;4.615588;1;0;5.01562;119.2868;103.5082;1.183165;33.02923;0.2041324
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_011.jpg;7.504965;1;0;5.001644;119.5373;103.6743;1.16298;33.70733;0.2917434
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_081.jpg;10.61607;1;0;5.013225;119.8653;103.8999;1.011168;35.24613;0.3977295
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_145.jpg;13.61615;1;0;5.007904;120.1046;104.0754;0.8191137;36.79915;0.5725107
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_212.jpg;15;1;0;5.018653;120.3375;104.2568;0.5262426;38.76334;0.7794146
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_281.jpg;15;1;0;5.008552;120.6369;104.5088;0.04183652;41.56667;1.170419
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_346.jpg;15;1;0;5.009093;120.8562;104.7053;359.7524;43.45693;1.414664
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_411.jpg;12.09648;1;0;5.00141;121.0764;104.9082;359.752;45.04526;1.406909
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_481.jpg;9.0998;1;0;5.002152;121.3665;105.1907;0.01971326;46.92574;1.199948
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_549.jpg;5.986365;1;0;5.005249;121.5757;105.4099;0.1743774;48.25363;1.038244
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_611.jpg;3.066972;1;0;5.012545;121.778;105.6334;0.2325122;49.29015;0.9372942
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_681.jpg;0.09408854;1;0;5.012192;122.0414;105.9363;0.2691705;49.97815;0.8698501
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_748.jpg;1.506155;1;0;5.011672;122.2365;106.1658;0.3044455;50.201;0.8351188
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_15_811.jpg;4.422344;1;0;5.01833;122.4294;106.3979;0.3698515;50.54174;0.8352926
